FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
"USA, Pacific",USA,,,NE Gateway Project,Excelerate Energy,Installed,Submerged Turret,2007,91,,0,"The project encompasses two submerged turret loading buoys with approximately 16-miles (26km) of 24-in pipeline. Situated 18-miles (29km) east of Boston, Massachusetts, Excelerate plans to connect the Northeast Gateway project to the New England gas grid through a subsea interconnect with the existing 30-in HubLine.

1/08: plans to take its first cargo deliveries in early 2008."
"USA, Pacific",USA,,,NE Gateway Project,Excelerate Energy,Installed,Submerged Turret,2007,91,,0,"The project encompasses two submerged turret loading buoys with approximately 16-miles (26km) of 24-in pipeline. Situated 18-miles (29km) east of Boston, Massachusetts, Excelerate plans to connect the Northeast Gateway project to the New England gas grid through a subsea interconnect with the existing 30-in HubLine.

1/08: plans to take its first cargo deliveries in early 2008."
West Africa,Angola,2,Bagre,Bagre,"Chevron, Texaco",Installed,Catenary Anchor Leg Mooring,1993,35,"175,000",0,
West Africa,Angola,17,Clov,Clov,Total,Installed,Catenary Anchor Leg Mooring,2014,416,,0,
West Africa,Angola,17,Dalia,Dalia,Total,Installed,,2007,"1,360",,0,
West Africa,Angola,2,Essungo,Essungo,Texaco,Installed,Catenary Anchor Leg Mooring,1980,35,"250,000",3,Stock unit.
West Africa,Angola,17,Girassol,Girassol,Total,Installed,Catenary Anchor Leg Mooring,2000,"1,334","400,000",3,Mar Profundo Girassol = Bouygues/ETPM jv. Load export tankers w/oil prod from FPSO. Largest and deepest CALM buoy ever assembled.
West Africa,Angola,18,Greater Plutonio,Greater Plutonio,BP,Installed,Catenary Anchor Leg Mooring,2006,415,,0,Feed by kellogg brown & root. FPSO betw plutonio/cobalto + galio/cromio. Stolt lay production; technip w/inj system
West Africa,Angola,32,Kaombo (Block 32 CSE),Kaombo,Total,Tendering,Catenary Anchor Leg Mooring,2017,433,,0,04/06: gindungo/canela/cola/gengibre/mostarda form major prodstructure in east-central section of block.
West Africa,Angola,15,Kizomba A,Kizomba A,ExxonMobil,Installed,Catenary Anchor Leg Mooring,2004,"1,244","330,000",2,"CALM system will be connected to the Kizomba A FPSO. COS = Crude Oil Offloading System. SBM, unit of IHC Caland, contracted to supply buoy. CALM buoy is a new genertaton ""deepwater"" offloading system."
West Africa,Angola,15,Kizomba B,Kizomba B,ExxonMobil,Installed,Catenary Anchor Leg Mooring,2005,"1,244","330,000",2,"CALM system will be connected to the Kizomba B FPSO. COS = Crude Oil Offloading System. SBM, unit of IHC Caland, contracted to supply buoy. CALM buoy is a new generation ""deepwater"" offloading system."
West Africa,Angola,14,Kuito,Kuito Phase 1A,"Chevron, Cabinda Gulf",Installed,Catenary Anchor Leg Mooring,1999,415,"235,000",2,Fab at Arabian Gulf yard. Export CALM for spread-moored FPSO.
West Africa,Angola,Cabinda A,,Malongo,Cabinda Gulf,Installed,Catenary Anchor Leg Mooring,1968,23,"100,000",2,
West Africa,Angola,Cabinda A,,Malongo,Chevron,Installed,Catenary Anchor Leg Mooring,1981,36,"55,000",1,LPG storage.  Connected to an FSO vessel.
West Africa,Angola,Cabinda A,,Malongo,Chevron,Installed,Catenary Anchor Leg Mooring,1988,36,"55,000",1,Replacement unit.  Permanent tanker mooring w/an FSO vessel.
West Africa,Angola,Cabinda A,,Malongo,Chevron,Installed,Catenary Anchor Leg Mooring,1992,31,"325,000",2,
West Africa,Angola,3,Palanca,Palanca,Sonangol,Installed,Catenary Anchor Leg Mooring,1985,43,"260,000",1,Undwerwater hoses connected to an FSO vessel.
West Africa,Angola,17,Pazflor,Pazflor Phase I,Total,Installed,Catenary Anchor Leg Mooring,2011,314,,0,"Miocene oil layer development in eastern portion of block 17.Total confirms:  acacia, hortensia, perpetua + zina discoveries."
West Africa,Angola,Cabinda A,Takula,Takula,Chevron,Removed,Catenary Anchor Leg Mooring,1980,67,"300,000",2,
West Africa,Angola,Cabinda A,Takula,Takula,Chevron,Installed,Catenary Anchor Leg Mooring,1985,72,"300,000",2,Stock unit.
West Africa,Angola,Cabinda A,Takula,Takula,Chevron,Installed,Catenary Anchor Leg Mooring,1988,72,"300,000",3,Replacement unit.
West Africa,Benin,1,Seme,Seme Redevelopment,SAPETRO,Construction,Conventional Buoy Mooring,2014,30,"60,000",,
West Africa,Cameroon,,Kole,,Total,Installed,Catenary Anchor Leg Mooring,2008,8,,0,Five platform complex - gathering centre for a number of fields -exports via shuttle tankers.Satellite dev planned 95-96
West Africa,Cameroon,,Kole,Kole,Elf,Removed,Catenary Anchor Leg Mooring,1976,24,"150,000",1,
West Africa,Cameroon,,Kole,Kole,Elf,Removed,Catenary Anchor Leg Mooring,1980,30,"250,000",3,
West Africa,Cameroon,,Kole,Kole,Elf,Installed,Catenary Anchor Leg Mooring,1982,26,"250,000",3,Stock replacement unit.
West Africa,Cameroon,,Kribi,Kribi,COTCO,Installed,Catenary Anchor Leg Mooring,2003,34,"357,000",0,"SPM to mate with FSO at Jurong Shipyard October 2002, load out from MSE mid January 2003, start up April 2003."
West Africa,Cameroon,,Victoria,Victoria,Total,Installed,Catenary Anchor Leg Mooring,1982,57,"280,000",1,
West Africa,Congo,,Djeno,Djeno,Elf,Installed,Catenary Anchor Leg Mooring,1972,23,"250,000",2,
West Africa,Congo,,Djeno,Djeno,Total,Installed,Catenary Anchor Leg Mooring,2002,35,"340,000",0,
West Africa,Congo,Haute Mer,N'Kossa,N'Kossa,Total,Installed,Catenary Anchor Leg Mooring,1996,126,"270,000",2,Installed.
West Africa,"Congo, Democratic Republic of",,Moanda,Moanda,Chevron,Installed,Catenary Anchor Leg Mooring,1990,24,"95,000",0,
West Africa,"Congo, Democratic Republic of",,Muanda,Muanda Field,Chevron,Installed,Catenary Anchor Leg Mooring,1989,24,"95,000",2,Permanent mooring with an FSO vessel.
West Africa,"Congo, Democratic Republic of",,Muanda,Muanda Field,,Installed,Catenary Anchor Leg Mooring,1995,23,"100,000",2,
West Africa,Cote d'Ivoire,CI-40,Baobab,Baobab,CNR International,Installed,Catenary Anchor Leg Mooring,2005,970,"357,000",0,
West Africa,Cote d'Ivoire,,Belier,Belier,Sonatrach,Installed,Catenary Anchor Leg Mooring,2004,,,0,"FMC Technologies plans to sub-contract pipeline design, supply and installation & the onshore facilities to OPE of Houston, TX. Export terminals will be used to transport crude & condensate from onshore facilities."
West Africa,Cote d'Ivoire,CI-26,Espoir,Espoir,CNR International,Removed,Catenary Anchor Leg Mooring,1982,87,"240,000",0,
West Africa,Cote d'Ivoire,CI-11,Lion,Lion,Devon Energy,Installed,Catenary Anchor Leg Mooring,1995,24,,0,Three wellhead platforms with jackup production system producinghydrocarbons to shore facilities for processing.Oil/condensate+gas
West Africa,Equatorial Guinea,G,Ceiba,Ceiba Phase 1,Hess,Installed,Catenary Anchor Leg Mooring,2002,88,"350,000",0,Buoy will be connected to the Sendje Ceiba FPSO. COS = Crude Oil Offloading System.
West Africa,Equatorial Guinea,B,Zafiro,Zafiro Phase II B,Mobil,Installed,Catenary Anchor Leg Mooring,1999,137,"268,191",2,"INTEC performing detailed design work. ""25-Year-in-the-Water CALM"" concept by Imodco."
West Africa,Equatorial Guinea,B,Zafiro,Zafiro Phase II B,ExxonMobil,Installed,,1999,91,,0,"Subsea wells tied back to zafiro FPSO as part of zafiro ph ii devl.New prod plat on jade to up zafiro prod to 120,000b/d=zafiro ph iii"
West Africa,Gabon,Gombe,Gombe Beta,Gombe Beta,Kelt,Removed,Catenary Anchor Leg Mooring,1991,15,"78,000",0,
West Africa,Gabon,,Lucina,Lucina,Shell,Installed,Catenary Anchor Leg Mooring,1967,34,"165,000",1,
West Africa,Gabon,,Mayumba,Mayumba,Elf,Installed,Catenary Anchor Leg Mooring,1980,30,"70,000",1,
West Africa,Gabon,,Mayumba,Mayumba,Elf,Installed,Catenary Anchor Leg Mooring,1983,30,"100,000",0,
West Africa,Gabon,,Oguendjo,Oguendjo,BP,Installed,Catenary Anchor Leg Mooring,1983,28,"230,000",0,
West Africa,Ghana,West Cape Three Points,Jubilee,Jubilee Gas Infrastructure Project (GIP),Tullow Oil,Installed,,2012,100,,,
West Africa,Ghana,,Saltpond,Saltpond,GNPC,Removed,Single Anchor Leg Mooring,1978,24,"64,000",2,
West Africa,Ghana,,Takoradi,Takoradi,"Chevron, GNPC",Installed,Catenary Anchor Leg Mooring,1997,30,"40,000",0,Contracted by Stone & Webster.
West Africa,Mauritania,Chinguetti,Chinguetti,Chinguetti,"Woodside, Tullow Oil",Installed,Catenary Anchor Leg Mooring,2005,790,"275,000",0,APL awarded EPC contract. First production from Chinguetti is expected early 2006. SPM system being designed to withstand 100-yr storm.
West Africa,Nigeria,OML 216,Agbami,Agbami/Ekoli,Chevron,Installed,Single Anchor Leg Mooring,2007,"1,400","315,000",0,
West Africa,Nigeria,OPL 472,Agbara,Agbara,Agip,Installed,Catenary Anchor Leg Mooring,1992,65,,0,
West Africa,Nigeria,OML 130,Akpo,Akpo,Total,Installed,Catenary Anchor Leg Mooring,2008,"1,401",,0,
West Africa,Nigeria,,Amenam-Kpono,Amenam-Kpono,Total,Installed,Catenary Anchor Leg Mooring,2003,12,,0,"Cpp+2 wellhead plts,lq plt,bridge+flare tripod in 45msw.Line to newfso.Operator has signed financing agreem (06/00). Dev with kpono."
West Africa,Nigeria,OML 49,Benin,Benin,Chevron,Installed,,1996,20,,0,Mobile production system - reinforced concrete bargeexport via shuttle tanker
West Africa,Nigeria,OML 118,Bonga,Bonga Phase I,Shell,Installed,Catenary Anchor Leg Mooring,2004,"1,097","283,000",3,
West Africa,Nigeria,OML 118,Bonga Southwest/Aparo,Bonga Southwest/Aparo Phase 1,Shell,Tendering,Catenary Anchor Leg Mooring,2020,379,,0,
West Africa,Nigeria,,Bonny Island,Bonny Island,Shell,Installed,Catenary Anchor Leg Mooring,1971,28,"313,000",1,
West Africa,Nigeria,,Bonny Island,Bonny Island,Shell,Installed,Catenary Anchor Leg Mooring,1971,28,"313,000",1,
West Africa,Nigeria,,Bonny River Gas Recovery,Bonny River Gas Recovery,Shell,Installed,Catenary Anchor Leg Mooring,1996,28,"350,000",2,"Terminal name is ""Bonny"". One of two identical CALM buoys."
West Africa,Nigeria,,Bonny River Gas Recovery,Bonny River Gas Recovery,Shell,Installed,Catenary Anchor Leg Mooring,1996,28,"350,000",2,"Terminal name is ""Bonny"". One of two identical CALM buoys."
West Africa,Nigeria,,Bonny River Gas Recovery,Bonny River Gas Recovery,Shell,Installed,Catenary Anchor Leg Mooring,2004,28,"313,000",1,
West Africa,Nigeria,,Brass,Brass River Area,Agip,Removed,Catenary Anchor Leg Mooring,1972,29,"200,000",2,
West Africa,Nigeria,,Brass,Brass River Area,Agip,Installed,Catenary Anchor Leg Mooring,1976,29,"250,000",2,
West Africa,Nigeria,,Brass,Brass River Area,Agip,Installed,Catenary Anchor Leg Mooring,1988,30,"300,000",2,Replacement unit.
West Africa,Nigeria,,Brass,Brass River Area,Agip,Installed,Catenary Anchor Leg Mooring,1999,30,"300,000",2,Export from land.
West Africa,Nigeria,OML 79,EA,EA,Shell,Installed,Catenary Anchor Leg Mooring,2002,18,,0,Moor newbuild FPSO.
West Africa,Nigeria,OML 130,Egina,Egina,Total,Planned,Catenary Anchor Leg Mooring,2018,470,,0,
West Africa,Nigeria,OPL 209,Erha,Erha,ExxonMobil,Installed,Catenary Anchor Leg Mooring,2005,"1,158","350,000",2,"Erha field start-up planned for late 2005. CALM buoy is a new generation ""deepwater"" offloading system. Construction is complete and buoy still on schedule for installation in 2005."
West Africa,Nigeria,,,Escravos,Chevron,Installed,Catenary Anchor Leg Mooring,1968,21,"100,000",2,
West Africa,Nigeria,,,Escravos,Chevron,Installed,Catenary Anchor Leg Mooring,1970,31,"300,000",2,
West Africa,Nigeria,,,Escravos,Chevron,Installed,Catenary Anchor Leg Mooring,1977,31,"300,000",2,
West Africa,Nigeria,,,Escravos,Chevron,Installed,Catenary Anchor Leg Mooring,1993,31,"300,000",1,
West Africa,Nigeria,,,Escravos,Chevron,Installed,Catenary Anchor Leg Mooring,1999,31,"300,000",2,
West Africa,Nigeria,,,Escravos Phase IIIA (EGP3A),Chevron,Installed,,2007,25,,0,
West Africa,Nigeria,OPL 245,Zabazaba/Etan,Etan,Eni,Planned,Catenary Anchor Leg Mooring,2019,"1,800",,,
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Installed,Catenary Anchor Leg Mooring,1968,25,"210,000",1,
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Removed,Catenary Anchor Leg Mooring,1968,25,"210,000",1,
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Installed,Catenary Anchor Leg Mooring,1971,28,"313,000",1,
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Installed,Catenary Anchor Leg Mooring,1986,28,"350,000",0,Replacement unit.
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Installed,Catenary Anchor Leg Mooring,1991,25,"350,000",2,
West Africa,Nigeria,,Forcados,Forcados Yokri,Shell,Installed,Catenary Anchor Leg Mooring,1995,3,,0,Multi-platform and subsea well cluster development on offshore partoggs riser platform put in 2002. Expansion/refurb 12/01.
West Africa,Nigeria,OPL 469,NGO,NGO,Abacan,Installed,Catenary Anchor Leg Mooring,1996,26,"270,000",1,Mooring FSO R.G. Sawka.
West Africa,Nigeria,OML 86,Olokola Gas Supply (OKGS),North Apoi,Texaco,Installed,Catenary Anchor Leg Mooring,1974,27,"50,000",3,Permanent tanker mooring.
West Africa,Nigeria,OML 86,Olokola Gas Supply (OKGS),North Apoi,Texaco,Installed,Catenary Anchor Leg Mooring,1974,28,"250,000",2,
West Africa,Nigeria,OML 86,Olokola Gas Supply (OKGS),North Apoi,Texaco,Installed,Catenary Anchor Leg Mooring,1977,29,"250,000",2,
West Africa,Nigeria,OPL 91,Okono/Okpoho,Okono/Okpoho Phase I,NNPC,Installed,Catenary Anchor Leg Mooring,2003,100,"330,000",1,Installation to occur early 2003.
West Africa,Nigeria,OML 123,Antan Terminal,OPL 098 - Antan Terminal,Addax,Installed,,2007,38,"140,900",0,Buoy will connect to the Knock Adoon FPSO which replaces the Knock Taggart FPSO mid 2006
West Africa,Nigeria,OML 70,Oso,Oso Phase II,Mobil,Installed,Catenary Anchor Leg Mooring,1992,27,"285,000",2,
West Africa,Nigeria,,Qua Iboe,Qua Iboe,Mobil,Installed,Catenary Anchor Leg Mooring,1971,27,"255,000",2,
West Africa,Nigeria,,Qua Iboe,Qua Iboe,Mobil,Installed,Catenary Anchor Leg Mooring,1979,26,"300,000",2,
West Africa,Nigeria,,Qua Iboe,Qua Iboe,Mobil,Installed,Catenary Anchor Leg Mooring,1988,26,"300,000",2,Lease/purchase unit.
West Africa,Nigeria,,Qua Iboe,Qua Iboe,Mobil,Installed,Catenary Anchor Leg Mooring,1995,26,"285,000",2,
West Africa,Nigeria,OPL 222,Usan,Usan,Sinopec,Installed,Catenary Anchor Leg Mooring,2012,800,,,
West Africa,South Africa,,E-M,E-M,Mossgas,Installed,Conventional Buoy Mooring,2000,95,,0,Similar to control buoy for East Spar dvlp offshore Australia.
West Africa,South Africa,9,Oribi,Oribi,Soekor,Installed,Catenary Anchor Leg Mooring,1997,120,"128,356",0,Moor floating storage/shuttle tanker KNOCK DEE.
