FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,Tui Area Oil Project,AWE,Installed,,2006,Cooper Cameron,2,120,07/13: Infill well Pateke-2H in the northern extension of Pateke field to be tied-back to existing subsea infrastructure
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,Tui Area Oil Project,AWE,Installed,Satellite,2007,Cooper Cameron,2,120,
Australia/New Zealand,New Zealand,PMP 38158,Tui Area Oil Project,Tui Area Oil Project,AWE,Installed,Satellite,2007,Cooper Cameron,1,101,Field deemed commercially viable to develop. Field expected to be developed together with Tui and Pateke fields together have a reserve base of around 20-30 MMbbls of oil.
Baltic,Poland,,B-3,B-3,Petrobaltic,Installed,Satellite,1995,Cooper Cameron,1,80,
Baltic,Poland,,B-3,B-3,Petrobaltic,Installed,Satellite,1997,Cooper Cameron,2,80,
"Canada, East",Canada,EL 1112,Bay du Nord,Bay du Nord,Statoil,Possible,,2018,,5,"1,100",
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),Ben Nevis,ExxonMobil,Possible,Cluster,2020,,11,97,
"Canada, East",Canada,SDL 1009,Ben Nevis (Hebron Pool 3),Ben Nevis,ExxonMobil,Possible,Cluster,2020,,7,100,
"Canada, East",Canada,,Chebucto,Chebucto,ExxonMobil,Possible,Satellite,2016,,2,65,
"Canada, East",Canada,,Deep Panuke,Deep Panuke,EnCana,Installed,Cluster,2010,VetcoGray,5,43,02/09. Rowan Gorilla III will commence work Q1 2010 for 310 days to reenter 4 wells and drill 1 new wells.
"Canada, East",Canada,PL 1005,Hibernia Southern Extension,Hibernia Southern Extension,ExxonMobil,Construction,Template,2015,FMC,3,85,
"Canada, East",Canada,,Hibernia Southern Extension,Hibernia Southern Extension,ExxonMobil,Construction,Template,2015,FMC,3,85,
"Canada, East",Canada,EL 2409 (Mariner),Mariner (Canada),Mariner (Canada),Canadian Superior,Cancelled,Cluster,2015,,4,35,
"Canada, East",Canada,EL 1045,North Amethyst,North Amethyst,Husky Oil,Construction,Satellite,2015,Cameron,11,122,
"Canada, East",Canada,,North Ben Nevis,North Ben Nevis,Husky Oil,Possible,Satellite,2020,,1,100,
"Canada, East",Canada,,South White Rose,South White Rose Extension (SWRX),Husky Oil,Construction,Cluster,2016,Cameron,6,122,"12/18/12 Drill center excavated in September measures 80 metres long by 45 metres wide by 10 metres deep.
09/10 two producers, one gas injector and one water injector into the SWRX Pool, as well as one producer and one gas injector into the South Avalon Pool."
"Canada, East",Canada,,Terra Nova,Terra Nova,Suncor,Installed,Cluster,2006,FMC,4,95,
"Canada, East",Canada,,Terra Nova,Terra Nova,Suncor,Installed,Cluster,2007,FMC,11,94,
"Canada, East",Canada,PL 1002,Terra Nova,Terra Nova,Suncor,Installed,,2009,FMC,4,96,
"Canada, East",Canada,,Terra Nova,Terra Nova,Suncor,Installed,Cluster,2012,FMC,9,94,"Production from Terra Nova commenced in January 2002. As of September 8, 2004, 11 oil producers, 4 water injectors and 3 gas injectors are connected to the Terra Nova FPSO. The remaining 6 wells are expected to be drilled, completed and hooked-up by end-2006 as Terra Nova East Project."
"Canada, East",Canada,PL 1002,Terra Nova,Terra Nova Far East,Suncor,Possible,Template,2018,,2,107,Tree Amounts are not yet known
"Canada, East",Canada,,West White Rose,West White Rose Pilot,Husky Oil,Installed,Satellite,2012,Cameron,2,122,"Subsea equipment required for the scheme includes christmas trees, wellhead equipment, rigid and stacked spools, gas lift jumpers, subsea control distribution equipment and gas lift distribution systems"
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Oil,Installed,Cluster,2008,Cameron,9,130,
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Oil,Installed,Cluster,2008,Cameron,9,122,"7 wells drilled thus far by SEDCO 714. 10-14 prod wells + 8-10 injection wells to be drilled in phases over 4-6yrs. Drill centres located in glory holes. CSO selected for FEED for the ss prod system. 11 wells already in production, with 10 to follow. 4 more glory holes are expected, with operator providing installation."
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Energy,Installed,Cluster,2009,Cameron,3,122,
"Canada, East",Canada,PL 1006,White Rose,White Rose - 2012 Infill Well,Husky Energy,Installed,Cluster,2012,Cameron,1,131,An additional infill well at the main White Rose field
"Canada, Other",Canada,,Drake Point,Drake Point,Panarctic Oil,Installed,Satellite,1978,Regan,1,55,
Caspian Sea,Azerbaijan,,Azeri-Chirag-Guneshli,ACG - Phase III (DWG),BP,Installed,Cluster,2008,Cooper Cameron,10,175,Phase 3 was sanctioned in September 2004 and engineering construction and installation contracts were awarded for the production facilities.
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Construction,,2018,FMC,7,70,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Construction,,2018,,9,152,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Construction,,2018,FMC,7,90,
Caspian Sea,Azerbaijan,,Shah Deniz,Shah Deniz Phase II,BP,Construction,,2018,,7,122,
Caspian Sea,Russia,,Guneshli (ex-28th of April),Guneshli,Caspmor,Installed,Satellite,1986,Cooper Cameron,1,140,
Caspian Sea,Turkmenistan,II,Dzhygalybeg (Zhdanov),Dzhygalybeg (Zhdanov),Dragon Oil,Installed,,2001,,,25,
Central America,Trinidad and Tobago,5c,Block 5(c),5(c),Canadian Superior,Possible,Cluster,2018,,3,309,
Central America,Trinidad and Tobago,5c,Block 5(c),5(c),Canadian Superior,Possible,Cluster,2018,,2,251,
Central America,Trinidad and Tobago,5c,Block 5(c),5(c),Canadian Superior,Possible,Cluster,2018,,3,286,
Central America,Trinidad and Tobago,,,Block 22,Centrica,Possible,Satellite,2016,,2,427,
Central America,Trinidad and Tobago,NCMA-3,Chaconia,Chaconia,BG,Installed,Satellite,2006,,3,120,Apache handled pipeline installation.
Central America,Trinidad and Tobago,East Mayaro,Coconut,Coconut,BP,Possible,Satellite,2016,,1,77,
Central America,Trinidad and Tobago,5a,Dolphin Deep,Dolphin Deep,BG,Installed,Satellite,2006,FMC,2,200,
Central America,Trinidad and Tobago,,Hibiscus East,Hibiscus East,BG,Installed,Satellite,2006,,3,119,Apache handled pipeline installation.
Central America,Trinidad and Tobago,East Mayaro,Juniper,Juniper,BP,Planned,Satellite,2016,,2,100,
Central America,Trinidad and Tobago,East Mayaro,Juniper,Juniper,BP,Planned,Satellite,2016,,3,100,
Central America,Trinidad and Tobago,6d,Loran/Manatee,Loran/Manatee,Chevron,Possible,Satellite,2017,,1,187,
Central America,Trinidad and Tobago,5b,Manakin,Manakin,BP,Possible,Cluster,2018,,1,200,2.0 TCF gas est. Large structure straddles Trinidad-Venezuela median line.
Central America,Trinidad and Tobago,9,Poinsettia,Poinsettia,BG,Installed,Satellite,2008,,1,161,Field to come online 4Q2008.
Central America,Trinidad and Tobago,E,Starfish,Starfish,BG,Construction,Satellite,2014,,4,130,Starfish-1X well discovered in 1998. Discover y is located near the Dolphin Deep field. Development to be brought on stream as Dolphin Deep declines
Far East,China,Bonan,Bonan,Bonan,CNOOC,Installed,,2004,,1,22,
Far East,China,,Huizhou (HZ) 16-1N,Huizhou (HZ) 16-1N,CACT,Installed,Satellite,2000,,1,0,
Far East,China,16/08,Huizhou (HZ) 26-1N,Huizhou (HZ) 26-1N,CACT,Installed,Satellite,2000,,1,118,
Far East,China,16/08,Huizhou (HZ) 26-2,Huizhou (HZ) 26-2,CACT,Installed,,2001,,1,180,
Far East,China,16/08,Huizhou (HZ) 32-5,Huizhou (HZ) 32-5,CACT,Installed,Satellite,1998,FMC,3,115,
Far East,China,Ledong01,Ledong 22-1/15-1,Ledong 22-1/15-1,CNOOC,Installed,Daisy Chain,2009,,4,110,4/09: Further expansion will involve these 4 subsea wells tied back to Ledong 22-1 CPP in 2012.
Far East,China,29/04,Liuhua (LH) 1-1,Liuhua (LH) 1-1,BP,Installed,Satellite,1996,FMC,21,300,
Far East,China,29/04,Liuhua (LH) 1-1,Liuhua (LH) 1-1,BP,Installed,Satellite,1997,FMC,4,300,
Far East,China,29/04,Liuhua (LH) 11-1,Liuhua (LH) 11-1,BP,Installed,Satellite,1988,FMC,25,370,
Far East,China,Liuhua 07,Liuhua (LH) 19-5,Liuhua (LH) 19-5,CNOOC,Installed,,2013,Aker Solutions,2,96,
Far East,China,29/26,Liuhua (LH) 29-1,Liuhua (LH) 29-1,Husky Oil,Tendering,Satellite,2016,,6,723,6 to 7 well development
Far East,China,29/26,Liuhua (LH) 34-2,Liuhua (LH) 34-2,Husky Oil,Installed,Satellite,2012,,1,"1,145",
Far East,China,29/04,Liuhua (LH) 4-1,Liuhua (LH) 4-1,CNOOC,Installed,Cluster,2012,FMC,8,300,
Far East,China,29/26,Liwan (LW) 3-1,Liwan (LW) 3-1,Husky Oil,Installed,Cluster,2012,Cameron,2,"1,494",03/10: Subsea tie back to fixed platform in shallow water for processing.
Far East,China,29/26,Liwan (LW) 3-1,Liwan (LW) 3-1,Husky Oil,Installed,Cluster,2012,Cameron,2,"1,494",
Far East,China,29/26,Liwan (LW) 3-1,Liwan (LW) 3-1,Husky Oil,Installed,Cluster,2012,Cameron,4,"1,494",
Far East,China,Lufeng08,Lufeng (LF) 22-1,Lufeng (LF) 22-1,Statoil,Installed,Template,1997,FMC,5,329,
Far East,China,Panyu33,Panyu (PY) 34-1/35-1/35-2,Panyu (PY) 34-1/35-1/35-2,CNOOC,Installed,,2013,Cameron,6,200,
Far East,China,Panyu33,Panyu (PY) 34-1/35-1/35-2,Panyu (PY) 34-1/35-1/35-2,CNOOC,Installed,,2014,Cameron,4,200,
Far East,China,Yangjiang31/32,Wenchang (WC) 19-3,Wenchang (WC) 19-3,CNOOC,Installed,,2008,,4,125,
Far East,China,Yangjiang31/32,Wenchang (WC) 9-2/9-3/10-3,Wenchang (WC) 9-2/9-3/10-3,CNOOC,Planned,Cluster,2016,,6,142,Subsea wellhead
Far East,China,Xijiang04,Xijiang (XJ) 23-1,Xijiang (XJ) 23-1,CNOOC,Installed,,2007,,8,100,
Far East,China,Ledong01,Yacheng (YC) 13-4,Yacheng (YC) 13-4,CNOOC,Installed,Cluster,2011,Aker Solutions,3,90,
Far East,Russia,Kirinsky,Sakhalin III,Kirinskoye,Gazprom,Installed,Cluster,2013,FMC,6,90,"02/11: six wells and one manifold planned. 2 wells to be drilled in 2011. 2 appraisal wells, drilled on Kirinskoye in 2009-2010, will be turned into development wells."
Far East,South Korea,VI-1 (6-1),Donghae/Gorae,Donghae/Gorae,KNOC,Installed,Satellite,2008,,1,143,"7/03: Additional facilities for Gorae field.Xmas tree,1.37miles flowline,1.37miles umb,gas compression unit. Work to comlpete by March 2008."
Far East,South Korea,VI-1 (6-1),Donghae/Gorae,Gorae V (2001-2004),KNOC,Installed,Satellite,2002,ABB Vetco Gray,3,150,"Korea's first offshore development & only subsea project. Wells will be drilled between May & October, with first gas production expected around December of 2003. Semi Doo Sung performing subsea wellhead installation with anticipated completion by September 2002."
Far East,Taiwan,,CBK,CBK,CPC,Installed,Template,1986,VetcoGray,8,55,
Far East,Taiwan,,CBK,CBK,CPC,Installed,Satellite,1986,VetcoGray,1,55,
Indian Ocean,India,D-1,D-1,D-1 Expansion (FPSO),ONGC,Installed,Satellite,2012,,1,85,
Indian Ocean,India,D-18,D-18,D-18,ONGC,Installed,Satellite,1989,VetcoGray,2,85,
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,,2018,,3,400,"Four well manifolds (AJ3 manifold) with Sub-sea distribution unit (SDU) functionality with sub-sea High Integrity Pressure Protection System (HIPPS) have been   considered. Two sub-sea wells will be connected to the manifold with infield flow lines  (8"" x 7 km & 8"" x 2.2 km) and one well with short jumper, rated for well shut-in pressure, to be connected to the AJ-3 manifold."
Indian Ocean,India,NEC-OSN-97/2 (NEC-25),D32/D40,D32/D40,Reliance,Planned,,2018,,3,400,"Four well manifold (AJ2 manifold) with Umbilical distribution hub (UDH) / Subªsea distribution assembly (SDA)/ Sub-sea distribution unit (SDU) functionality with subsea High Integrity, pressure Protection System (HIPPS) has been considered. Three sub-sea wells will be connected to the manifold by short jumpers. Jumpers placed  upstream of manifold are rated for well shut-in pressure."
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai 1 and 3,Dhirubhai 1/3,Reliance,Installed,Satellite,2008,Aker Kvaerner,18,"1,198",
Indian Ocean,India,KG-DWN-98/2 (KG-D5),G-1/GS-15,G-1/GS-15,ONGC,Installed,Cluster,2010,Cameron,5,400,11/07: 1 tree and pipelay work completed by Clough before cancellation.
Indian Ocean,India,Godavari PML,GS-29,GS-29,ONGC,Planned,,2017,,2,122,12/09: ONGC is expected to issue tenders for subsea facilities for the development of GS-29 off the East Coast of India in 2010.
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,,2015,,2,515,
Indian Ocean,India,KG-OS-DW-IV,Vashishta/S1 Development,Integrated Vashishta/S1 Development,ONGC,Tendering,Cluster,2015,,2,503,
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai-26 (MA),MA (D26) Phase I,Reliance,Installed,Satellite,2008,,7,,
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai-26 (MA),MA (D26) Phase II,Reliance,Installed,Satellite,2009,,5,"1,199",
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High 1976,ONGC,Installed,Satellite,1977,Cooper Cameron,3,73,
Indian Ocean,India,Mumbai High,Mumbai High,Mumbai High 1976,ONGC,Installed,Template,1987,VetcoGray,4,70,
Indian Ocean,India,KG-DWN-98/2 (KG-D5),Northern Development Area (NDA),Northern Discovery Area (NDA),ONGC,Planned,Satellite,2018,,1,500,
Indian Ocean,India,,Northern Development Area (NDA),Northern Discovery Area (NDA),ONGC,Planned,Satellite,2018,,1,600,
Indian Ocean,India,Godavari PML,Northern Development Area (NDA),Northern Discovery Area (NDA),ONGC,Planned,Satellite,2018,,1,225,
Indian Ocean,India,KG-DWN-98/2 (KG-D5),Northern Development Area (NDA),Northern Discovery Area (NDA),ONGC,Planned,Satellite,2018,,1,493,
Indian Ocean,India,CY-OS-90/1 (PY-3),PY-3,PY-3,Vaalco,Installed,Cluster,1997,Cooper Cameron,4,155,
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai-34 (R-Cluster),R-cluster (D-34) subsea tieback,Reliance,Planned,,2017,,9,"2,010",
Indian Ocean,India,KG-DWN-98/2 (KG-D5),UD-1,Southern Development Area (SDA),ONGC,Planned,,2019,,11,"2,861",
Indian Ocean,India,KG-DWN-98/2 (KG-D5),G-1/GS-15,Vainateyam mudline well completion,ONGC,Tendering,,2016,,3,15,
Indian Ocean,Mozambique,Area 1,Golfinho/Atum,Area 1 (Golfinho/Atum),Anadarko,Possible,,2019,,4,"1,000",
Indian Ocean,Mozambique,Area 1,Golfinho/Atum,Area 1 (Golfinho/Atum),Anadarko,Possible,,2019,,4,"1,027",
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,,2018,,8,"1,442",
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,Cluster,2019,,8,"1,463",
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,Cluster,2020,,8,"1,547",
Indian Ocean,Mozambique,Area 1,Prosperidade (ex Mozambique Gas),Area 1 (Prosperidade),Anadarko,Tendering,Cluster,2021,,8,"1,585",
Indian Ocean,Mozambique,Area 4,Area 4 Mamba South/North,Area 4 Mamba South/North,Eni,Planned,,2022,,4,"1,994",
Indian Ocean,Mozambique,Area 1,Area 4 Mamba South/North,Area 4 Mamba South/North,Eni,Planned,,2023,,10,"1,585",
Indian Ocean,Mozambique,Area 1,Area 4 Mamba South/North,Area 4 Mamba South/North,Eni,Planned,,2024,,10,"1,690",
Indian Ocean,Mozambique,Area 4,Coral 1,Coral South,Eni,Planned,,2020,,5,"1,848",
Indian Ocean,Mozambique,Area 4,Coral 1,Coral South,Eni,Possible,,2021,,5,"2,261",
Indian Ocean,Myanmar,A-3,Shwe Project,Phase 1: Shwe/Mya North (2013),Daewoo Intl,Installed,Cluster,2012,FMC,4,187,5-slot manifold with 4 production wells
Indian Ocean,Myanmar,A-3,Shwe Project,Phase 2: Mya South (2025),Daewoo Intl,Planned,,2025,,3,560,"A four-slot manifold, including a spare slot, will manage the flow of gas and liquids from three production wells."
Indian Ocean,Myanmar,A-1,Shwe Project,Phase 3: Shwe Phyu (2026),Daewoo Intl,Planned,,2026,,6,95,"The subsea scheme will have facilities including a seven-slot manifold, including a spare slot, for six production wells,"
Indian Ocean,Tanzania,Mnazi Bay,Mnazi Bay,Mnazi Bay,Wentworth Resources,Cancelled,,2015,,2,10,
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2019,,4,"1,400",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2020,,3,950,
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2020,,4,"1,300",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2020,,4,"1,300",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2020,,3,"1,639",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2021,,3,"1,150",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2021,,3,"1,301",
Indian Ocean,Tanzania,4,"Tanzania Block 1, 3 and 4 LNG","Tanzania Block 1,3 and 4 LNG",BG,Possible,,2021,,3,"2,186",
Indian Ocean,Tanzania,,,Tanzania LNG,Statoil,Possible,,2021,,5,"2,582",
Indian Ocean,Tanzania,,,Tanzania LNG,Statoil,Possible,,2022,,5,"2,400",
Indian Ocean,Tanzania,2,Tanzania LNG,Tanzania LNG,Statoil,Possible,,2022,,5,"1,000",
Indian Ocean,Tanzania,2,Tanzania LNG,Tanzania LNG,Statoil,Possible,,2022,,5,"2,400",
Mediterranean/Black Sea,Bulgaria,91-III,Kavarna/Kaliakra,Kaliakra-1 tie-back,PETROCELTIC,Installed,,2013,,1,75,
Mediterranean/Black Sea,Bulgaria,91-III,Kavarna East,Kavarna East,PETROCELTIC,Planned,,2015,,1,50,
Mediterranean/Black Sea,Bulgaria,91-III,Kavarna/Kaliakra,Kavarna/Kaliakra,Melrose Resources,Installed,,2010,,1,30,
Mediterranean/Black Sea,Bulgaria,91-III,Kavarna/Kaliakra,Kavarna/Kaliakra,Melrose Resources,Installed,,2010,,1,75,
Mediterranean/Black Sea,Egypt,,,DEKA Development Project,Petrobel,Construction,,2014,Cameron,1,100,
Mediterranean/Black Sea,Egypt,,,DEKA Development Project,Petrobel,Installed,,2014,Cameron,2,,
Mediterranean/Black Sea,Egypt,,,DEKA Development Project,Petrobel,Construction,,2014,Cameron,1,114,
Mediterranean/Black Sea,Egypt,El Temsah,DEKA Development Project,DEKA Development Project,Petrobel,Construction,,2014,Cameron,1,68,
Mediterranean/Black Sea,Egypt,El Temsah,Denise,Denise B (or Denise Phase II),Agip,Installed,,2010,General Electric,3,90,"Denise S4, Denise 5, and Denise S4 wells tied up to Tuna PLEM (delivery point) through a 16-in line"
Mediterranean/Black Sea,Egypt,North Bardawil,North Bardawil,North Bardawil,Petrobel,Installed,,2009,,2,120,
Mediterranean/Black Sea,Egypt,Rosetta,Rosetta (Rashid),Rosetta Phase III,BG,Installed,,2008,,5,99,tie back to the first two phases of Rosetta
Mediterranean/Black Sea,Egypt,Ras El Barr,Taurt,Taurt phase 1,BP,Installed,Satellite,2008,Cameron,2,108,2010: Taurt Phase 1 consists of 2 ss wells
Mediterranean/Black Sea,Egypt,Ras El Barr,Taurt,Taurt Phase 2/Ha’py Field Extension,BP,Installed,Satellite,2010,,2,108,
Mediterranean/Black Sea,Egypt,Ras El Barr,Taurt,Taurt Phase 3 (East Nile Delta Phase 3),BP,Construction,,2015,OneSubsea,4,108,
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase I (Scarab/Saffron),BG,Installed,Cluster,2003,Cooper Cameron,8,622,
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase I (Scarab/Saffron),BG,Installed,Satellite,2005,Cooper Cameron,1,700,
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase II (Simian/Sienna),BG,Installed,Satellite,2005,Cameron,2,677,
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase II (Simian/Sienna),BG,Installed,Cluster,2005,Cameron,6,"1,100","FEED carried out by Bechtel and Intec, completed May 02. EPIC awarded to Technip-Coflexip."
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase III (Sapphire),BG,Installed,Cluster,2005,Cameron,8,459,
Mediterranean/Black Sea,Egypt,,,WDDM Phase IV,BG,Installed,Cluster,2008,Cameron,4,677,
Mediterranean/Black Sea,Egypt,West Delta Deep Marine (WDDM),West Delta Deep Marine WDDM,WDDM Phase IV,BG,Installed,Cluster,2008,Cameron,4,677,
